Post 39
All the wonderful parts of the human ecological experience are contained within the beautiful eyes of Greta Senzig
Kat never fails to brighten my day :)
Jo has such wonderful style and humor and values and thoughts
Mizuki has done so much incredible student organizing work!
Alya and the whole Little Prince cast and crew did such an incredible job!!!
"Emiliano brings so much energy and life with him, everywhere he goes"
"Cedar is the most delightful, intelligent, beautiful person I know"
Frances so continually impresses me with everything she does!
"Hana is so humble but don't let that fool you, she is unbelievably intelligent and funny and badass"
"Shoutout to Andrew and whoever else made the beeswax candles, I didn't buy any but oh boy that photo was beautiful"
