Post 36
I aspire to be as cool as Kaia 
the coffee house valentine's band gave me CHILLS
These compliments are something else.
will draxler is a national treasure
"To the RA team who put time into delivering all the valentines and chocolate, you have my whole heart, that was one of the sweetest things I've seen in a while"
I'm so grateful to have Nico in my life!
Tiegan is such an important member of this community
Nico Forman single handedly reinvented COA party culture within 2 weeks of being here. We are eternally grateful for it.
"Luca is one of the kindest, most generous people I’ve ever met "
Abagail is so pretty!
