Post 37
Keagan Bray has my whole heart
Ayden is so talented and smart and so cute when we draws
Azilee is so driven and kind and inspiring to be around 
I want leylis shoes like no other
Natalie is such a joy to be around! She brightens my life
Aydens laugh is infectious 
"Sierra impresses me every single day with her outfits, they're always so gorgeous!"
Alexandra is a human sunbeam 💛
"Aidan McCoy is the coolest guy on campus, no doubts about it"
i love tibbs tibbetts. she's an icon
