Post 34
Reina is so chill and talented 
McGhee has literally the best laugh in the world! It’s so infectious and joyful and it brightens my day to hear it♥️
Luca has the sweetest giggle ever 
Haysie Maurer is a wonderful human. And even better bird. She is an Eider 
Juno is so cute and kind and wonderful
"I absolutely adore Mason and his night photography, it genuinely makes me feel better to know that he's around doing his thing"
Shoutout to Dave for providing an essential piece of this community and also snacks
So grateful for Adler's presence in my life
Simply being in Greta's presence makes my day better
"I was referring to Greta S, but come to think of it, Greta B has a similar effect on my day :)"
